"Title","Writer","Score","Reviewcount","Novel","Genre","n"
"상복의 랑데부","코넬 울리치",7,6,"x","추리",4
"상복의 랑데부","코넬 울리치",7,6,"x","공포",4
"상복의 랑데부","코넬 울리치",8,5,"x","스릴러",4
"상복의 랑데부","코넬 울리치",8,5,"영미소설","X",4
"서재의 시체","애거사 크리스티",0,0,"x","추리",6
"서재의 시체","애거사 크리스티",8,6,"x","추리",6
"서재의 시체","애거사 크리스티",8,5,"x","추리",6
"서재의 시체","애거사 크리스티",8,6,"x","공포",6
"서재의 시체","애거사 크리스티",8,5,"영미소설","X",6
"서재의 시체","애거사 크리스티",0,0,"영미소설","X",6
"선학동 나그네","이청준",8,1,"한국소설","X",4
"선학동 나그네","이청준",0,0,"한국소설","X",4
"선학동 나그네","이청준",8,1,"작가 선집","X",4
"선학동 나그네","이청준",0,0,"작가 선집","X",4
"설국","가와바타 야스나리",7,137,"일본소설","X",4
"설국","가와바타 야스나리",7,5,"일본소설","X",4
"설국","가와바타 야스나리",6,16,"일본소설","X",4
"설국","가와바타 야스나리",7,8,"일본소설","X",4
"성","프란츠 카프카",9,5,"독일소설","X",11
"성","프란츠 카프카",0,0,"독일소설","X",11
"성","프란츠 카프카",0,0,"독일소설","X",11
"성","프란츠 카프카",7,1,"독일소설","X",11
"성","프란츠 카프카",0,0,"독일소설","X",11
"성","프란츠 카프카",6,2,"동유럽소설","X",11
"성","프란츠 카프카",0,0,"동유럽소설","X",11
"성","프란츠 카프카",7,13,"동유럽소설","X",11
"성","프란츠 카프카",0,0,"기타 국가의 소설","X",11
"성","프란츠 카프카",6,4,"기타 국가의 소설","X",11
"성","프란츠 카프카",0,0,"작가 선집","X",11
"셜록 홈즈 단편 걸작선","아서 코난 도일",0,0,"x","추리",4
"셜록 홈즈 단편 걸작선","아서 코난 도일",9,3,"x","추리",4
"셜록 홈즈 단편 걸작선","아서 코난 도일",0,0,"영미소설","X",4
"셜록 홈즈 단편 걸작선","아서 코난 도일",9,3,"영미소설","X",4
"셜록 홈즈 전집 8","아서 코난 도일",7,8,"x","추리",4
"셜록 홈즈 전집 8","아서 코난 도일",8,8,"x","추리",4
"셜록 홈즈 전집 8","아서 코난 도일",8,8,"x","공포",4
"셜록 홈즈 전집 8","아서 코난 도일",7,8,"영미소설","X",4
"셜록 홈즈 전집 세트","아서 코난 도일",8,11,"x","추리",7
"셜록 홈즈 전집 세트","아서 코난 도일",8,67,"x","추리",7
"셜록 홈즈 전집 세트","아서 코난 도일",7,5,"x","추리",7
"셜록 홈즈 전집 세트","아서 코난 도일",8,11,"x","공포",7
"셜록 홈즈 전집 세트","아서 코난 도일",8,67,"x","공포",7
"셜록 홈즈 전집 세트","아서 코난 도일",8,11,"영미소설","X",7
"셜록 홈즈 전집 세트","아서 코난 도일",7,5,"영미소설","X",7
"셜록 홈즈","아서 코난 도일",0,0,"x","추리",7
"셜록 홈즈","아서 코난 도일",0,0,"x","추리",7
"셜록 홈즈","아서 코난 도일",3,1,"x","추리",7
"셜록 홈즈","아서 코난 도일",0,0,"x","추리",7
"셜록 홈즈","아서 코난 도일",0,0,"영미소설","X",7
"셜록 홈즈","아서 코난 도일",3,1,"영미소설","X",7
"셜록 홈즈","아서 코난 도일",0,0,"영미소설","X",7
"셜록 홈즈의 귀환","아서 코난 도일",0,0,"x","추리",8
"셜록 홈즈의 귀환","아서 코난 도일",10,2,"x","추리",8
"셜록 홈즈의 귀환","아서 코난 도일",0,0,"x","추리",8
"셜록 홈즈의 귀환","아서 코난 도일",0,0,"x","추리",8
"셜록 홈즈의 귀환","아서 코난 도일",10,2,"영미소설","X",8
"셜록 홈즈의 귀환","아서 코난 도일",10,2,"x","공포",8
"셜록 홈즈의 귀환","아서 코난 도일",0,0,"영미소설","X",8
"셜록 홈즈의 귀환","아서 코난 도일",0,0,"영미소설","X",8
"셜록 홈즈의 마지막 인사","아서 코난 도일",0,0,"x","추리",9
"셜록 홈즈의 마지막 인사","아서 코난 도일",10,1,"x","추리",9
"셜록 홈즈의 마지막 인사","아서 코난 도일",0,0,"x","추리",9
"셜록 홈즈의 마지막 인사","아서 코난 도일",0,0,"x","추리",9
"셜록 홈즈의 마지막 인사","아서 코난 도일",10,1,"x","공포",9
"셜록 홈즈의 마지막 인사","아서 코난 도일",0,0,"영미소설","X",9
"셜록 홈즈의 마지막 인사","아서 코난 도일",10,1,"영미소설","X",9
"셜록 홈즈의 마지막 인사","아서 코난 도일",0,0,"영미소설","X",9
"셜록 홈즈의 마지막 인사","아서 코난 도일",0,0,"영미소설","X",9
"셜록 홈즈의 모험","아서 코난 도일",0,0,"x","추리",9
"셜록 홈즈의 모험","아서 코난 도일",8,3,"x","추리",9
"셜록 홈즈의 모험","아서 코난 도일",0,0,"x","추리",9
"셜록 홈즈의 모험","아서 코난 도일",8,3,"x","추리",9
"셜록 홈즈의 모험","아서 코난 도일",8,3,"영미소설","X",9
"셜록 홈즈의 모험","아서 코난 도일",8,3,"x","공포",9
"셜록 홈즈의 모험","아서 코난 도일",8,3,"영미소설","X",9
"셜록 홈즈의 모험","아서 코난 도일",0,0,"영미소설","X",9
"셜록 홈즈의 모험","아서 코난 도일",0,0,"영미소설","X",9
"셜록 홈즈의 사건집","아서 코난 도일",10,1,"x","추리",6
"셜록 홈즈의 사건집","아서 코난 도일",10,1,"x","추리",6
"셜록 홈즈의 사건집","아서 코난 도일",0,0,"x","추리",6
"셜록 홈즈의 사건집","아서 코난 도일",10,1,"영미소설","X",6
"셜록 홈즈의 사건집","아서 코난 도일",10,1,"영미소설","X",6
"셜록 홈즈의 사건집","아서 코난 도일",0,0,"영미소설","X",6
"셜록 홈즈의 회상","아서 코난 도일",0,0,"x","추리",4
"셜록 홈즈의 회상","아서 코난 도일",0,0,"x","추리",4
"셜록 홈즈의 회상","아서 코난 도일",0,0,"영미소설","X",4
"셜록 홈즈의 회상","아서 코난 도일",0,0,"영미소설","X",4
"소송","프란츠 카프카",8,5,"독일소설","X",8
"소송","프란츠 카프카",8,15,"독일소설","X",8
"소송","프란츠 카프카",0,0,"독일소설","X",8
"소송","프란츠 카프카",9,2,"독일소설","X",8
"소송","프란츠 카프카",8,2,"동유럽소설","X",8
"소송","프란츠 카프카",8,6,"동유럽소설","X",8
"소송","프란츠 카프카",0,0,"기타 국가의 소설","X",8
"소송","프란츠 카프카",0,0,"작가 선집","X",8
"수레바퀴 아래서","헤르만 헤세",8,24,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",9,5,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",0,0,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",8,4,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",0,0,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",10,2,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",0,0,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",0,0,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",8,17,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",10,2,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",8,97,"독일소설","X",12
"수레바퀴 아래서","헤르만 헤세",7,4,"독일소설","X",12
"수정마개","모리스 르블랑",0,0,"x","추리",5
"수정마개","모리스 르블랑",8,2,"x","추리",5
"수정마개","모리스 르블랑",8,2,"x","공포",5
"수정마개","모리스 르블랑",0,0,"프랑스소설","X",5
"수정마개","모리스 르블랑",8,2,"프랑스소설","X",5
"스타일즈 저택의 죽음","애거사 크리스티",7,3,"x","추리",4
"스타일즈 저택의 죽음","애거사 크리스티",7,10,"x","추리",4
"스타일즈 저택의 죽음","애거사 크리스티",7,3,"x","공포",4
"스타일즈 저택의 죽음","애거사 크리스티",7,10,"x","공포",4
"시녀 이야기","마거릿 애트우드",6,5,"x","SF",5
"시녀 이야기","마거릿 애트우드",8,45,"x","SF",5
"시녀 이야기","마거릿 애트우드",6,5,"영미소설","X",5
"시녀 이야기","마거릿 애트우드",8,45,"영미소설","X",5
"시녀 이야기","마거릿 애트우드",8,45,"기타 국가의 소설","X",5
"신곡","단테",0,0,"이탈리아소설","X",5
"신곡","단테",0,0,"이탈리아소설","X",5
"신곡","단테",8,2,"이탈리아소설","X",5
"신곡","단테",7,6,"이탈리아소설","X",5
"신곡","단테",7,6,"기타 국가의 소설","X",5
"실종자","프란츠 카프카",0,0,"독일소설","X",4
"실종자","프란츠 카프카",0,0,"기타 국가의 소설","X",4
"실종자","프란츠 카프카",0,0,"기타 국가의 소설","X",4
"실종자","프란츠 카프카",0,0,"작가 선집","X",4
"심판","프란츠 카프카",8,3,"독일소설","X",7
"심판","프란츠 카프카",8,1,"독일소설","X",7
"심판","프란츠 카프카",7,3,"독일소설","X",7
"심판","프란츠 카프카",8,1,"기타 국가의 소설","X",7
"심판","프란츠 카프카",7,4,"기타 국가의 소설","X",7
"심판","프란츠 카프카",7,1,"기타 국가의 소설","X",7
"심판","프란츠 카프카",5,2,"기타 국가의 소설","X",7
"싯다르타","헤르만 헤세",0,0,"독일소설","X",9
"싯다르타","헤르만 헤세",10,1,"독일소설","X",9
"싯다르타","헤르만 헤세",0,0,"독일소설","X",9
"싯다르타","헤르만 헤세",0,0,"독일소설","X",9
"싯다르타","헤르만 헤세",10,2,"독일소설","X",9
"싯다르타","헤르만 헤세",0,0,"독일소설","X",9
"싯다르타","헤르만 헤세",0,0,"독일소설","X",9
"싯다르타","헤르만 헤세",8,1,"독일소설","X",9
"싯다르타","헤르만 헤세",8,66,"독일소설","X",9
"아Q정전","루쉰",8,5,"중국소설","X",10
"아Q정전","루쉰",8,28,"중국소설","X",10
"아Q정전","루쉰",0,0,"중국소설","X",10
"아Q정전","루쉰",0,0,"중국소설","X",10
"아Q정전","루쉰",0,0,"중국소설","X",10
"아Q정전","루쉰",8,9,"중국소설","X",10
"아Q정전","루쉰",8,3,"중국소설","X",10
"아Q정전","루쉰",8,19,"중국소설","X",10
"아Q정전","루쉰",8,2,"중국소설","X",10
"아Q정전","루쉰",6,2,"중국소설","X",10
"아르센 뤼팽 대 헐록 숌즈","모리스 르블랑",8,47,"x","추리",4
"아르센 뤼팽 대 헐록 숌즈","모리스 르블랑",6,14,"x","추리",4
"아르센 뤼팽 대 헐록 숌즈","모리스 르블랑",6,14,"x","공포",4
"아르센 뤼팽 대 헐록 숌즈","모리스 르블랑",6,14,"프랑스소설","X",4
"아르센 뤼팽의 고백","모리스 르블랑",8,40,"x","추리",4
"아르센 뤼팽의 고백","모리스 르블랑",9,1,"x","추리",4
"아르센 뤼팽의 고백","모리스 르블랑",9,1,"x","공포",4
"아르센 뤼팽의 고백","모리스 르블랑",9,1,"프랑스소설","X",4
"아버지와 아들","이반 투르게네프",8,18,"러시아소설","X",4
"아버지와 아들","이반 투르게네프",0,0,"러시아소설","X",4
"아버지와 아들","이반 투르게네프",10,1,"러시아소설","X",4
"아버지와 아들","이반 투르게네프",8,1,"러시아소설","X",4
"안나 카레니나 1","레프 톨스토이",8,39,"러시아소설","X",5
"안나 카레니나 1","레프 톨스토이",8,3,"러시아소설","X",5
"안나 카레니나 1","레프 톨스토이",8,16,"러시아소설","X",5
"안나 카레니나 1","레프 톨스토이",0,0,"러시아소설","X",5
"안나 카레니나 1","레프 톨스토이",8,1,"러시아소설","X",5
"안나 카레니나 3","레프 톨스토이",8,10,"러시아소설","X",5
"안나 카레니나 3","레프 톨스토이",10,1,"러시아소설","X",5
"안나 카레니나 3","레프 톨스토이",8,7,"러시아소설","X",5
"안나 카레니나 3","레프 톨스토이",8,13,"러시아소설","X",5
"안나 카레니나 3","레프 톨스토이",0,0,"기타 국가의 소설","X",5
"안네의 일기","안네 프랑크",0,0,"영미소설","X",5
"안네의 일기","안네 프랑크",0,0,"독일소설","X",5
"안네의 일기","안네 프랑크",6,2,"독일소설","X",5
"안네의 일기","안네 프랑크",0,0,"기타 국가의 소설","X",5
"안네의 일기","안네 프랑크",0,0,"기타 국가의 소설","X",5
"애크로이드 살인사건","애거사 크리스티",7,10,"x","추리",5
"애크로이드 살인사건","애거사 크리스티",7,25,"x","추리",5
"애크로이드 살인사건","애거사 크리스티",7,10,"x","공포",5
"애크로이드 살인사건","애거사 크리스티",7,25,"x","공포",5
"애크로이드 살인사건","애거사 크리스티",7,25,"영미소설","X",5
"앨리스 죽이기","코바야시 야스미",6,47,"x","추리",4
"앨리스 죽이기","코바야시 야스미",6,47,"x","공포",4
"앨리스 죽이기","코바야시 야스미",6,47,"x","스릴러",4
"앨리스 죽이기","코바야시 야스미",6,47,"일본소설","X",4
"어린 왕자","생 텍쥐페리",8,127,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",8,7,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",8,2,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",8,39,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",0,0,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",8,20,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",0,0,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",0,0,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",8,13,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",0,0,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",8,140,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",0,0,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",8,17,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",0,0,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",9,1,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",10,8,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",8,4,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리",0,0,"프랑스소설","X",18
"어린 왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",9,8,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",9,2,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",9,4,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",8,8,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",14
"어린 왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",14
"어린왕자","생 텍쥐페리",0,0,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",0,0,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",0,0,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",8,19,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",0,0,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",8,10,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",0,0,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",8,4,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",8,6,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",8,1,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",6,1,"프랑스소설","X",12
"어린왕자","생 텍쥐페리",10,2,"프랑스소설","X",12
"어린왕자","생 텍쥐페리 원",8,12,"프랑스소설","X",6
"어린왕자","생 텍쥐페리 원",10,2,"프랑스소설","X",6
"어린왕자","생 텍쥐페리 원",8,9,"프랑스소설","X",6
"어린왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",6
"어린왕자","생 텍쥐페리 원",0,0,"프랑스소설","X",6
"어린왕자","생 텍쥐페리 원",8,2,"프랑스소설","X",6
"어머니","막심 고리키",0,0,"러시아소설","X",5
"어머니","막심 고리키",8,5,"러시아소설","X",5
"어머니","막심 고리키",8,12,"러시아소설","X",5
"어머니","막심 고리키",9,1,"러시아소설","X",5
"어머니","막심 고리키",0,0,"러시아소설","X",5
"여자의 일생","기 드 모파상",8,5,"프랑스소설","X",16
"여자의 일생","기 드 모파상",0,0,"프랑스소설","X",16
"여자의 일생","기 드 모파상",0,0,"프랑스소설","X",16
"여자의 일생","기 드 모파상",0,0,"프랑스소설","X",16
"여자의 일생","기 드 모파상",0,0,"프랑스소설","X",16
"여자의 일생","기 드 모파상",0,0,"프랑스소설","X",16
"여자의 일생","기 드 모파상",8,5,"프랑스소설","X",16
"여자의 일생","기 드 모파상",8,1,"프랑스소설","X",16
"여자의 일생","기 드 모파상",7,3,"프랑스소설","X",16
"여자의 일생","기 드 모파상",0,0,"프랑스소설","X",16
"여자의 일생","기 드 모파상",0,0,"프랑스소설","X",16
"여자의 일생","기 드 모파상",7,2,"프랑스소설","X",16
"여자의 일생","기 드 모파상",8,1,"프랑스소설","X",16
"여자의 일생","기 드 모파상",6,1,"프랑스소설","X",16
"여자의 일생","기 드 모파상",6,1,"프랑스소설","X",16
"여자의 일생","기 드 모파상",7,4,"프랑스소설","X",16
"열린책들 창립 30주년 기념 대표 작가 12인 세트","폴 오스터, 니코스 카잔차키스, 베르나르 베르베르, 움베르토 에코, 도스토예프스키",8,10,"한국소설","X",7
"열린책들 창립 30주년 기념 대표 작가 12인 세트","폴 오스터, 니코스 카잔차키스, 베르나르 베르베르, 움베르토 에코, 도스토예프스키",8,10,"영미소설","X",7
"열린책들 창립 30주년 기념 대표 작가 12인 세트","폴 오스터, 니코스 카잔차키스, 베르나르 베르베르, 움베르토 에코, 도스토예프스키",8,10,"프랑스소설","X",7
"열린책들 창립 30주년 기념 대표 작가 12인 세트","폴 오스터, 니코스 카잔차키스, 베르나르 베르베르, 움베르토 에코, 도스토예프스키",8,10,"독일소설","X",7
"열린책들 창립 30주년 기념 대표 작가 12인 세트","폴 오스터, 니코스 카잔차키스, 베르나르 베르베르, 움베르토 에코, 도스토예프스키",8,10,"러시아소설","X",7
"열린책들 창립 30주년 기념 대표 작가 12인 세트","폴 오스터, 니코스 카잔차키스, 베르나르 베르베르, 움베르토 에코, 도스토예프스키",8,10,"이탈리아소설","X",7
"열린책들 창립 30주년 기념 대표 작가 12인 세트","폴 오스터, 니코스 카잔차키스, 베르나르 베르베르, 움베르토 에코, 도스토예프스키",8,10,"기타 국가의 소설","X",7
"예고 살인","애거사 크리스티",7,16,"x","추리",4
"예고 살인","애거사 크리스티",8,3,"x","추리",4
"예고 살인","애거사 크리스티",7,16,"x","공포",4
"예고 살인","애거사 크리스티",8,3,"x","공포",4
"예언자","칼릴 지브란",0,0,"영미소설","X",5
"예언자","칼릴 지브란",0,0,"영미소설","X",5
"예언자","칼릴 지브란",0,0,"영미소설","X",5
"예언자","칼릴 지브란",8,1,"영미소설","X",5
"예언자","칼릴 지브란",0,0,"기타 국가의 소설","X",5
"오 헨리 단편선","오 헨리",0,0,"영미소설","X",5
"오 헨리 단편선","오 헨리",0,0,"영미소설","X",5
"오 헨리 단편선","오 헨리",0,0,"영미소설","X",5
"오 헨리 단편선","오 헨리",9,4,"영미소설","X",5
"오 헨리 단편선","오 헨리",8,1,"영미소설","X",5
"오리엔트 특급 살인","애거사 크리스티",8,18,"x","추리",4
"오리엔트 특급 살인","애거사 크리스티",8,1,"x","추리",4
"오리엔트 특급 살인","애거사 크리스티",8,1,"x","공포",4
"오리엔트 특급 살인","애거사 크리스티",8,18,"영미소설","X",4
"오리엔트 특급살인","애거사 크리스티",8,26,"x","추리",5
"오리엔트 특급살인","애거사 크리스티",7,26,"x","추리",5
"오리엔트 특급살인","애거사 크리스티",8,26,"x","공포",5
"오리엔트 특급살인","애거사 크리스티",7,26,"x","공포",5
"오리엔트 특급살인","애거사 크리스티",7,26,"영미소설","X",5
"오만과 편견","제인 오스틴",8,72,"영미소설","X",25
"오만과 편견","제인 오스틴",8,5,"영미소설","X",25
"오만과 편견","제인 오스틴",8,4,"영미소설","X",25
"오만과 편견","제인 오스틴",8,9,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",5,2,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",8,10,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",8,12,"영미소설","X",25
"오만과 편견","제인 오스틴",9,9,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",10,1,"영미소설","X",25
"오만과 편견","제인 오스틴",9,1,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",0,0,"영미소설","X",25
"오만과 편견","제인 오스틴",8,10,"영미소설","X",25
"오만과 편견","제인 오스틴",8,1,"영미소설","X",25
"오만과 편견","제인 오스틴",8,2,"영미소설","X",25
"오즈의 마법사","L. 프랭크 바움",8,9,"한국소설","X",6
"오즈의 마법사","L. 프랭크 바움",8,7,"영미소설","X",6
"오즈의 마법사","L. 프랭크 바움",0,0,"영미소설","X",6
"오즈의 마법사","L. 프랭크 바움",0,0,"영미소설","X",6
"오즈의 마법사","L. 프랭크 바움",0,0,"영미소설","X",6
"오즈의 마법사","L. 프랭크 바움",0,0,"영미소설","X",6
"오페라의 유령","가스통 르루",8,4,"x","추리",11
"오페라의 유령","가스통 르루",8,4,"x","공포",11
"오페라의 유령","가스통 르루",8,11,"영미소설","X",11
"오페라의 유령","가스통 르루",0,0,"프랑스소설","X",11
"오페라의 유령","가스통 르루",8,16,"프랑스소설","X",11
"오페라의 유령","가스통 르루",0,0,"프랑스소설","X",11
"오페라의 유령","가스통 르루",8,2,"프랑스소설","X",11
"오페라의 유령","가스통 르루",8,4,"프랑스소설","X",11
"오페라의 유령","가스통 르루",8,62,"프랑스소설","X",11
"오페라의 유령","가스통 르루",8,1,"프랑스소설","X",11
"오페라의 유령","가스통 르루",0,0,"기타 국가의 소설","X",11
"우리 시대의 영웅","미하일 레르몬토프",0,0,"러시아소설","X",5
"우리 시대의 영웅","미하일 레르몬토프",0,0,"러시아소설","X",5
"우리 시대의 영웅","미하일 레르몬토프",0,0,"러시아소설","X",5
"우리 시대의 영웅","미하일 레르몬토프",10,1,"러시아소설","X",5
"우리 시대의 영웅","미하일 레르몬토프",0,0,"러시아소설","X",5
"운명의 문","애거사 크리스티",0,0,"x","추리",4
"운명의 문","애거사 크리스티",6,5,"x","추리",4
"운명의 문","애거사 크리스티",6,5,"x","공포",4
"운명의 문","애거사 크리스티",0,0,"영미소설","X",4
"운수 좋은 날","현진건",9,5,"한국소설","X",4
"운수 좋은 날","현진건",8,7,"한국소설","X",4
"운수 좋은 날","현진건",0,0,"한국소설","X",4
"운수 좋은 날","현진건",0,0,"한국소설","X",4
"움직이는 손가락","애거사 크리스티",7,11,"x","추리",7
"움직이는 손가락","애거사 크리스티",8,6,"x","추리",7
"움직이는 손가락","애거사 크리스티",0,0,"x","추리",7
"움직이는 손가락","애거사 크리스티",8,6,"x","공포",7
"움직이는 손가락","애거사 크리스티",7,11,"x","공포",7
"움직이는 손가락","애거사 크리스티",0,0,"x","공포",7
"움직이는 손가락","애거사 크리스티",8,7,"영미소설","X",7
"월든","헨리 데이비드 소로우",8,5,"한국소설","X",4
"월든","헨리 데이비드 소로우",0,0,"영미소설","X",4
"월든","헨리 데이비드 소로우",0,0,"영미소설","X",4
"월든","헨리 데이비드 소로우",9,3,"영미소설","X",4
"위대한 개츠비","스콧 피츠제럴드",8,28,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",8,11,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",10,4,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",8,29,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",8,3,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",8,1,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",9,3,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",9,1,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",10,2,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",8,11,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",9,7,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",10,1,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",8,6,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",7,2,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",0,0,"영미소설","X",36
"위대한 개츠비","스콧 피츠제럴드",8,5,"영미소설","X",36
"이반 일리치의 죽음","레프 톨스토이",8,21,"러시아소설","X",4
"이반 일리치의 죽음","레프 톨스토이",8,6,"러시아소설","X",4
"이반 일리치의 죽음","레프 톨스토이",9,2,"러시아소설","X",4
"이반 일리치의 죽음","레프 톨스토이",8,12,"러시아소설","X",4
"이방인","알베르 까뮈",8,12,"프랑스소설","X",27
"이방인","알베르 까뮈",9,1,"프랑스소설","X",27
"이방인","알베르 까뮈",10,5,"프랑스소설","X",27
"이방인","알베르 까뮈",0,0,"프랑스소설","X",27
"이방인","알베르 까뮈",8,14,"프랑스소설","X",27
"이방인","알베르 까뮈",0,0,"프랑스소설","X",27
"이방인","알베르 까뮈",9,3,"프랑스소설","X",27
"이방인","알베르 까뮈",0,0,"프랑스소설","X",27
"이방인","알베르 까뮈",0,0,"프랑스소설","X",27
"이방인","알베르 까뮈",0,0,"프랑스소설","X",27
"이방인","알베르 까뮈",8,2,"프랑스소설","X",27
"이방인","알베르 까뮈",10,3,"프랑스소설","X",27
"이방인","알베르 까뮈",9,1,"프랑스소설","X",27
