"Title","Writer","Series","Price","Pagenum","Reviewcount","Score","Sellnum","Novel_X","Novel_Korea","Novel_United","Novel_Japan","Novel_China","Novel_SpainLatin","Novel_France","Novel_Germany","Novel_Russia","Novel_Italy","Novel_EEurope","Novel_NEurope","Novel_EtcCountry","Novel_WriterSelect","Genre_Mystery","Genre_Horror","Genre_Fantasy","Genre_Martialart","Genre_SF","Genre_Thriller","Genre_History","Genre_X"
"은하수를 여행하는 히치하이커를 위한 안내서 2",1632,12,7650,312,11,7,822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하수를 여행하는 히치하이커를 위한 안내서 3",1632,12,7650,308,8,6,705,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하수를 여행하는 히치하이커를 위한 안내서 4",1632,12,8100,294,7,6,678,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하수를 여행하는 히치하이커를 위한 안내서 5",1632,12,8100,351,7,6,576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하수를 여행하는 히치하이커를 위한 안내서 6",5405,12,10800,493,3,8,720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하수를 여행하는 히치하이커를 위한 안내서 합본",1632,12,34200,1236,27,7,3108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 1",1526,12,11700,403,10,8,1287,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 10",1526,12,11700,1,4,7,456,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 2",1526,12,11700,1,4,8,882,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 3",1526,12,11700,1,4,8,885,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 4",1526,12,11700,1,3,8,702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 5",1526,12,11700,1,5,8,642,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 6",1526,12,11700,1,3,8,474,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 7",1526,12,11700,1,4,8,486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 8",1526,12,11700,1,4,8,456,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 9",1526,12,11700,1,4,8,396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
