"Title","Writer","Publisher","Series","Price","Pagenum","Reviewcount","Score","Sellnum","Avail19","Novel_X","Novel_Korea","Novel_United","Novel_Japan","Novel_China","Novel_SpainLatin","Novel_France","Novel_Germany","Novel_Russia","Novel_Italy","Novel_EEurope","Novel_NEurope","Novel_EtcCountry","Novel_WriterSelect","Genre_Mystery","Genre_Horror","Genre_Fantasy","Genre_Martialart","Genre_SF","Genre_Thriller","Genre_History","Genre_X","n"
"'에드거 앨런 포' 베스트 단편집 : The Best of Edgar Allan Poe (영어 원서)","에드거 앨런 포","BOOKK(부크크)","X",15000,288,0,0,114,"X",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(그 느낌 그대로) 국어 교과서 단편소설 1집","김유정 등","BOOKK(부크크)","X",14000,264,0,0,246,"X",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(그 느낌 그대로) 국어 교과서 단편소설 2집","김유정 등","BOOKK(부크크)","X",10800,185,0,0,24,"X",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(그동안 숨겨진 희귀본) 그림형제 동화 1집 : Grimms' Fairy Tales (영어 원서)","그림 형제","BOOKK(부크크)","X",11000,189,0,0,24,"X",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(그동안 숨겨진 희귀본) 그림형제 동화 2집 : Grimms' Fairy Tales (영어 원서)","그림 형제","BOOKK(부크크)","X",11400,200,0,0,0,"X",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(독일 동화) 그림형제 동화집 62편 : Grimms' Fairy Tales (영문판)","그림 형제","BOOKK(부크크)","X",16900,336,0,0,12,"X",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(명탐정) 브라운 신부의 결백 : The Innocence of Father Brown (영어 원서)","G. K. 체스터턴","BOOKK(부크크)","X",16400,325,0,0,0,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"(명탐정) 브라운 신부의 지혜 : The Wisdom of Father Brown (영어 원서)","G. K. 체스터턴","BOOKK(부크크)","X",15400,299,0,0,0,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"(불문학작품 36) LE NEVEU DE RAMEAU : 라모의 조카","DIDEROT","신아사","X",6000,172,0,0,0,"X",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(소파) 방정환 단편소설 (추가 발굴 작품 수록)","방정환","BOOKK(부크크)","X",12400,225,0,0,12,"X",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
